audio_waves,samplerate,bit_lengths,seconds_length
"[ 0.01060558  0.01276679  0.01104963 ... -0.01258199 -0.009484
  0.        ]",22050,102314,4.6400907029478455
[0.01328438 0.01807783 0.02529438 ... 0.00053522 0.00038178 0.        ],22050,179048,8.120090702947845
"[ 0.07399704  0.08975779  0.08694379 ... -0.01183985 -0.01392746
  0.        ]",22050,209036,9.480090702947846
"[ 0.00580266  0.00092045 -0.00744987 ...  0.00534328  0.0019109
  0.        ]",22050,89084,4.040090702947846
"[-0.00249984 -0.00515705 -0.00620978 ... -0.0374408  -0.02787002
  0.        ]",22050,411896,18.680090702947847
"[-0.00449759 -0.00531782 -0.00309828 ... -0.11085565 -0.09815294
  0.        ]",22050,104960,4.760090702947846
"[-2.3690376e-03 -2.2127277e-03 -1.0258147e-03 ...  5.6109446e-05
  2.0241059e-07  0.0000000e+00]",22050,253136,11.480090702947846
"[-0.08093605 -0.09683604 -0.08447547 ...  0.01036645  0.00846363
  0.        ]",22050,87320,3.960090702947846
"[-0.00052915 -0.00050382 -0.00038537 ... -0.00540925 -0.00435911
  0.        ]",22050,131420,5.960090702947846
"[ 0.00193586  0.00081092 -0.00018909 ...  0.00474834  0.00264118
  0.        ]",22050,419834,19.040090702947847
[0.00406297 0.00165445 0.00155764 ... 0.00298077 0.00233098 0.        ],22050,97904,4.440090702947846
"[ 0.00415776 -0.00030794  0.02758164 ...  0.21294017  0.19731458
  0.        ]",22050,139358,6.320090702947846
"[-0.00345481 -0.00549557 -0.00532519 ...  0.01345932  0.01071228
  0.        ]",22050,167582,7.6000907029478455
[0.0004315  0.00272409 0.00569235 ... 0.06441107 0.05032651 0.        ],22050,228440,10.360090702947845
[0.01448807 0.01521637 0.0108703  ... 0.01132335 0.01832148 0.        ],22050,273422,12.400090702947846
"[ 0.00954025  0.01172179  0.01048692 ... -0.01288237 -0.00980705
  0.        ]",22050,299000,13.560090702947846
"[ 0.00087209  0.00131542  0.00130928 ... -0.01195643 -0.0104158
  0.        ]",22050,100550,4.5600907029478455
[0.03870067 0.03780593 0.02458859 ... 0.00724488 0.00733899 0.        ],22050,106724,4.840090702947846
"[-0.01374929 -0.01642374 -0.0209584  ...  0.00955949  0.00844987
  0.        ]",22050,92612,4.200090702947846
[0.0194299  0.02020073 0.01534019 ... 0.00117056 0.00410402 0.        ],22050,108488,4.920090702947846
"[-0.01561054 -0.0252242  -0.03394552 ...  0.01087534  0.00960928
  0.        ]",22050,99668,4.520090702947845
"[-0.01382214 -0.00292595  0.01079215 ... -0.00355965  0.00488533
  0.        ]",22050,97022,4.400090702947846
"[-0.00111796 -0.00799102  0.00358648 ...  0.00832895  0.00358187
  0.        ]",22050,124364,5.6400907029478455
[0.0164384  0.02228918 0.02542907 ... 0.00142591 0.00206994 0.        ],22050,124364,5.6400907029478455
[0.05829759 0.06699479 0.05764055 ... 0.00380692 0.00785362 0.        ],22050,100550,4.5600907029478455
"[-0.01370241 -0.01592381 -0.0137875  ... -0.00071171  0.00080795
  0.        ]",22050,208154,9.440090702947845
"[-0.04695935 -0.04320271 -0.01308577 ... -0.00764754 -0.00921467
  0.        ]",22050,97904,4.440090702947846
[0.04082789 0.05065208 0.04549979 ... 0.00706846 0.00110398 0.        ],22050,119954,5.440090702947846
"[-0.01555419 -0.01539394 -0.00847055 ...  0.0148637   0.01088243
  0.        ]",22050,112016,5.080090702947846
"[-0.00587781 -0.00827446 -0.01018125 ... -0.02823419 -0.02632909
  0.        ]",22050,99668,4.520090702947845
"[ 0.00094632  0.00081053  0.00033135 ... -0.00082338 -0.00045133
  0.        ]",22050,313112,14.200090702947845
"[-0.0321891  -0.03934016 -0.03748044 ... -0.0330072  -0.03136881
  0.        ]",22050,130538,5.920090702947846
"[-0.03479162 -0.03822035 -0.02819034 ... -0.00377884 -0.00226719
  0.        ]",22050,106724,4.840090702947846
"[-0.04865578 -0.06842862 -0.07562453 ... -0.06229939 -0.05559031
  0.        ]",22050,119072,5.400090702947846
[0.00766589 0.0208398  0.01551703 ... 0.04466997 0.04289532 0.        ],22050,795566,36.08009070294784
"[-0.05120192 -0.05282383 -0.04148847 ...  0.11077844  0.02674742
  0.        ]",22050,105842,4.800090702947846
[0.00364534 0.00330679 0.00262279 ... 0.01698777 0.01415118 0.        ],22050,118190,5.360090702947846
"[-0.0067204  -0.01016675 -0.01347941 ... -0.00264766 -0.00918627
  0.        ]",22050,156116,7.080090702947846
[0.01712517 0.016971   0.01278548 ... 0.0122104  0.00762018 0.        ],22050,325460,14.760090702947846
"[-0.0168962  -0.01903317 -0.01574483 ...  0.13045669  0.09472889
  0.        ]",22050,232850,10.560090702947846
"[-2.6022359e-03 -6.8682665e-03 -9.6256565e-03 ... -1.4618012e-05
 -2.9038827e-05  0.0000000e+00]",22050,109370,4.960090702947846
"[ 0.00432876  0.00872187  0.00425408 ... -0.00895819 -0.0077807
  0.        ]",22050,167582,7.6000907029478455
[0.01486997 0.01294795 0.00310935 ... 0.01677682 0.01458837 0.        ],22050,250490,11.360090702947845
"[ 0.00984772  0.03998078  0.08752532 ... -0.19179702 -0.3015734
  0.        ]",22050,89084,4.040090702947846
[0.01331922 0.01490973 0.01308317 ... 0.02642808 0.02608646 0.        ],22050,141122,6.400090702947846
"[-0.01472091 -0.01675244 -0.0106898  ... -0.00821677 -0.00633385
  0.        ]",22050,179048,8.120090702947845
"[ 0.00096162 -0.00193623 -0.00249215 ...  0.0285467   0.02334265
  0.        ]",22050,173756,7.880090702947846
"[-0.04915541 -0.05016049 -0.03227494 ... -0.00762738 -0.00610453
  0.        ]",22050,97904,4.440090702947846
"[-0.05803746 -0.09979078 -0.13450713 ...  0.00465308  0.00360812
  0.        ]",22050,209036,9.480090702947846
[0.03128037 0.02954884 0.0180828  ... 0.00277765 0.00337624 0.        ],22050,213446,9.680090702947846
"[-0.09181847 -0.09433185 -0.05980982 ... -0.04490725 -0.03146658
  0.        ]",22050,92612,4.200090702947846
"[-0.02150265 -0.04903382 -0.05636392 ... -0.13144279 -0.12057853
  0.        ]",22050,112016,5.080090702947846
[0.00187678 0.00521943 0.01003838 ... 0.01431473 0.01258458 0.        ],22050,270776,12.280090702947845
"[-0.02170632 -0.02873416 -0.02889967 ...  0.00120612  0.0014808
  0.        ]",22050,179048,8.120090702947845
"[-0.00109335 -0.00110281 -0.00075227 ...  0.02374213  0.01565155
  0.        ]",22050,101432,4.6000907029478455
"[-0.00096512 -0.00058737  0.00069203 ...  0.02601248  0.02217444
  0.        ]",22050,98786,4.480090702947845
"[-0.00601767 -0.00672581 -0.0044524  ...  0.02815778  0.03370466
  0.        ]",22050,175520,7.960090702947846
"[ 0.00230489  0.00265921 -0.00285618 ... -0.02399539 -0.01786848
  0.        ]",22050,174638,7.920090702947846
[0.02675926 0.02840485 0.02176214 ... 0.01031519 0.00762641 0.        ],22050,339572,15.400090702947846
[0.01286028 0.01291817 0.01354478 ... 0.2331849  0.19849923 0.        ],22050,122600,5.5600907029478455
"[-0.01523761 -0.01257482 -0.00248761 ...  0.05361586  0.04979213
  0.        ]",22050,209918,9.520090702947845
"[-0.00557516 -0.00815285 -0.00838766 ... -0.00179624 -0.00041671
  0.        ]",22050,220502,10.000090702947846
"[-0.00678697 -0.00676037 -0.00473136 ...  0.03795528  0.05378376
  0.        ]",22050,190514,8.640090702947846
"[-0.30900115 -0.31381258 -0.161046   ...  0.01805284  0.01556786
  0.        ]",22050,229322,10.400090702947846
"[ 0.00246572  0.0025983   0.00188177 ... -0.00133884 -0.00125325
  0.        ]",22050,112016,5.080090702947846
"[-0.00293488 -0.00564853 -0.00615245 ...  0.00800848  0.00436886
  0.        ]",22050,112898,5.120090702947846
"[ 0.00054179  0.0029647   0.00391034 ... -0.04799209 -0.0419693
  0.        ]",22050,133184,6.040090702947846
[0.00020825 0.0005768  0.00093161 ... 0.01378166 0.01385863 0.        ],22050,336044,15.240090702947846
[0.11999688 0.18427709 0.20404065 ... 0.19970208 0.15753426 0.        ],22050,131420,5.960090702947846
"[ 0.04407273  0.04752246  0.03704849 ... -0.00590768 -0.00735719
  0.        ]",22050,114662,5.200090702947846
"[-0.00069109 -0.00093609 -0.00070882 ... -0.00417453 -0.00393141
  0.        ]",22050,179048,8.120090702947845
"[ 0.01709751  0.00554648 -0.01124437 ... -0.00031489 -0.00199668
  0.        ]",22050,111134,5.040090702947846
[0.00118562 0.00132576 0.00083078 ... 0.00549026 0.00556071 0.        ],22050,121718,5.520090702947845
"[-0.00433468 -0.00633638  0.00099282 ... -0.01358578 -0.01850483
  0.        ]",22050,163172,7.400090702947846
"[ 0.13480519  0.13800082  0.09329432 ... -0.03400195 -0.02676811
  0.        ]",22050,258428,11.720090702947846
"[-0.09409446 -0.09764228 -0.06564613 ... -0.00914338 -0.0067281
  0.        ]",22050,156998,7.120090702947846
"[-0.00330916 -0.00470417 -0.00537241 ... -0.00976506 -0.00985632
  0.        ]",22050,119954,5.440090702947846
"[-0.0180409  -0.02095944 -0.01794883 ...  0.02373073  0.01920877
  0.        ]",22050,88202,4.000090702947846
"[-0.0296288  -0.01876024  0.00371103 ...  0.13519822  0.15207644
  0.        ]",22050,119954,5.440090702947846
"[-0.00480761 -0.00526744 -0.00663293 ... -0.20161983 -0.22262731
  0.        ]",22050,287534,13.040090702947845
"[ 0.00159567 -0.00922003 -0.0240884  ...  0.07175559  0.07508814
  0.        ]",22050,159644,7.240090702947846
"[ 0.00350704  0.00353598  0.00271283 ... -0.0149283  -0.01238172
  0.        ]",22050,94376,4.280090702947846
"[-0.00345349 -0.00439691 -0.00408187 ...  0.11494411  0.10171313
  0.        ]",22050,116426,5.280090702947846
"[-0.0013162  -0.00146793 -0.0011721  ... -0.00152854 -0.00231981
  0.        ]",22050,151706,6.880090702947846
"[ 0.          0.          0.         ...  0.0022949  -0.00031771
  0.        ]",22050,251372,11.400090702947846
"[-0.01298109 -0.01560479 -0.01430546 ... -0.01331483 -0.01201886
  0.        ]",22050,122600,5.5600907029478455
"[-0.00211124 -0.0028738  -0.00298557 ... -0.02711    -0.02349943
  0.        ]",22050,327224,14.840090702947846
"[ 0.09533395  0.11367892  0.09262001 ... -0.00385779 -0.00174296
  0.        ]",22050,142004,6.440090702947846
"[-0.0213453  -0.02555936 -0.02433106 ... -0.11032228 -0.09546082
  0.        ]",22050,210800,9.560090702947846
[0.00877457 0.0101252  0.00885278 ... 0.00107528 0.00124868 0.        ],22050,121718,5.520090702947845
[0.26380694 0.2814998  0.20568478 ... 0.04315669 0.03030468 0.        ],22050,126128,5.720090702947846
"[-0.02714007 -0.02225495 -0.01538766 ... -0.00091835 -0.00062808
  0.        ]",22050,92612,4.200090702947846
"[ 0.04112892  0.04937452  0.03328585 ... -0.01710203 -0.0144312
  0.        ]",22050,166700,7.5600907029478455
[0.0005991  0.00057632 0.00043512 ... 0.00179554 0.00146573 0.        ],22050,515090,23.360090702947847
"[ 2.3778133e-02  1.6457504e-02  5.2033114e-04 ... -2.2328280e-05
  1.3939044e-04  0.0000000e+00]",22050,318404,14.440090702947845
"[-0.0047753  -0.00860315 -0.00853298 ...  0.01565476  0.01493672
  0.        ]",22050,98786,4.480090702947845
"[ 0.09189951  0.09985119  0.07731389 ... -0.00504585 -0.00328729
  0.        ]",22050,102314,4.6400907029478455
"[-0.05232851 -0.05967361 -0.05251036 ... -0.03217573 -0.03135544
  0.        ]",22050,134948,6.120090702947846
"[-0.01064941 -0.01278471 -0.01189039 ...  0.00340305  0.00298852
  0.        ]",22050,129656,5.880090702947846
"[-0.05777606 -0.07684945 -0.0835484  ... -0.00289202 -0.00210366
  0.        ]",22050,175520,7.960090702947846
"[-0.09396598 -0.10325486 -0.08348344 ... -0.00624918 -0.00569379
  0.        ]",22050,244316,11.080090702947846
"[-0.03844602 -0.05760802 -0.05655536 ... -0.14102075  0.06304656
  0.        ]",22050,128774,5.840090702947846
"[-0.0215393  -0.02353485 -0.01828741 ... -0.03063915 -0.0383899
  0.        ]",22050,120836,5.480090702947845
"[ 0.00594627  0.00968467  0.01133831 ... -0.02869358 -0.01982626
  0.        ]",22050,194924,8.840090702947846
[0.0020778  0.00299604 0.00268502 ... 0.00308853 0.00257275 0.        ],22050,192278,8.720090702947846
"[-0.00636895 -0.00811235 -0.00945962 ... -0.01751548 -0.01731294
  0.        ]",22050,164054,7.440090702947846
"[ 0.00463897  0.02077907  0.02233643 ... -0.01156666 -0.01270633
  0.        ]",22050,289298,13.120090702947845
"[-0.00234341 -0.00255596 -0.00203196 ... -0.00140141 -0.00129877
  0.        ]",22050,127010,5.760090702947846
"[-0.00482849  0.0111976   0.01542984 ...  0.00097287  0.00012747
  0.        ]",22050,205508,9.320090702947846
"[-0.07476985 -0.0820782  -0.03088623 ...  0.05492895  0.04236732
  0.        ]",22050,97022,4.400090702947846
[0.00026264 0.00028065 0.00021933 ... 0.00276279 0.00196513 0.        ],22050,276068,12.520090702947845
[0.03697797 0.04116989 0.0310229  ... 0.01799611 0.02257532 0.        ],22050,154352,7.000090702947846
"[-0.00168757 -0.00205995 -0.00156386 ... -0.02346054 -0.02106839
  0.        ]",22050,145532,6.6000907029478455
"[-0.00924921 -0.015835   -0.00777063 ...  0.00353633 -0.02072859
  0.        ]",22050,104960,4.760090702947846
"[ 0.14632694  0.17180608  0.15208606 ... -0.23071897 -0.22846305
  0.        ]",22050,140240,6.360090702947846
[0.05267169 0.05989308 0.05086095 ... 0.09412532 0.08360016 0.        ],22050,179048,8.120090702947845
"[-0.00282611 -0.00305525 -0.00165021 ...  0.03498397  0.03200713
  0.        ]",22050,103196,4.680090702947846
"[-0.00639708 -0.00474224 -0.00086209 ... -0.01114126 -0.00645115
  0.        ]",22050,240788,10.920090702947846
"[-0.00419491 -0.00358054 -0.00222886 ... -0.0014624  -0.00121664
  0.        ]",22050,347510,15.760090702947846
"[-0.01979828 -0.01572595 -0.00381423 ...  0.00517038  0.00478843
  0.        ]",22050,170228,7.720090702947846
"[6.4922373e-05 2.3565888e-04 5.4480712e-04 ... 2.5192178e-03 2.9378377e-03
 0.0000000e+00]",22050,113780,5.160090702947846
"[-0.00073258 -0.00165576 -0.00268397 ...  0.00931928  0.00730633
  0.        ]",22050,179048,8.120090702947845
"[-0.00409367 -0.00427575 -0.00325382 ... -0.00121978 -0.00105647
  0.        ]",22050,123482,5.6000907029478455
"[-0.01822855 -0.01794519 -0.00585875 ...  0.0007653  -0.00065398
  0.        ]",22050,247844,11.240090702947846
"[-0.00110493  0.00589756  0.00991936 ... -0.01072372 -0.0103461
  0.        ]",22050,109370,4.960090702947846
"[-0.00252481 -0.00249253 -0.00215339 ... -0.06898307 -0.07597747
  0.        ]",22050,354566,16.080090702947846
"[-0.00833481 -0.04413421 -0.10966145 ...  0.02854725  0.01717563
  0.        ]",22050,299000,13.560090702947846
"[ 0.35108238  0.33642372  0.19496492 ... -0.01715241 -0.06033188
  0.        ]",22050,89084,4.040090702947846
"[ 0.0008612   0.00099279  0.0008908  ... -0.00986496 -0.00893543
  0.        ]",22050,190514,8.640090702947846
"[ 0.00222912 -0.00193566 -0.0027575  ... -0.01517701 -0.00095222
  0.        ]",22050,219620,9.960090702947845
"[-0.01174598 -0.00538942  0.00786779 ... -0.01976589 -0.02429745
  0.        ]",22050,127892,5.800090702947846
[0.00565875 0.00674858 0.00590864 ... 0.00924217 0.0076211  0.        ],22050,118190,5.360090702947846
"[-0.00846788 -0.01200269 -0.01307398 ... -0.06899478 -0.055169
  0.        ]",22050,172874,7.840090702947846
"[-0.00617349 -0.00596575 -0.00256253 ... -0.00428797 -0.00347194
  0.        ]",22050,123482,5.6000907029478455
[0.00330247 0.00449465 0.00319569 ... 0.00438473 0.00147273 0.        ],22050,337808,15.320090702947846
"[ 0.02583141  0.0296365   0.02472743 ... -0.00222654 -0.0021985
  0.        ]",22050,276950,12.560090702947846
"[-0.02895178 -0.0310777  -0.02652632 ...  0.00913184  0.00545993
  0.        ]",22050,136712,6.200090702947846
"[-0.05823651 -0.07101885 -0.06550328 ... -0.04989217 -0.04609968
  0.        ]",22050,153470,6.960090702947846
"[-0.00684879 -0.00749214 -0.00635424 ... -0.07265397 -0.06422261
  0.        ]",22050,136712,6.200090702947846
[0.0290243  0.03356307 0.02772837 ... 0.01403085 0.01708165 0.        ],22050,142886,6.480090702947845
"[ 0.0002339  -0.00103457 -0.00183177 ... -0.03302897 -0.02507483
  0.        ]",22050,100550,4.5600907029478455
[0.00336338 0.00369778 0.00290849 ... 0.02073644 0.0189275  0.        ],22050,219620,9.960090702947845
"[ 1.9678647e-04 -6.8118441e-04 -3.8503065e-05 ... -2.7224274e-02
 -2.3283932e-02  0.0000000e+00]",22050,730298,33.12009070294785
"[-0.02951008 -0.03181089 -0.02812217 ... -0.02682608 -0.0255109
  0.        ]",22050,153470,6.960090702947846
"[-0.02325921 -0.0390139  -0.05011908 ... -0.03949622 -0.01959295
  0.        ]",22050,140240,6.360090702947846
"[ 0.01366783  0.01033391 -0.0031727  ...  0.05867177  0.04717292
  0.        ]",22050,106724,4.840090702947846
[0.02586796 0.034779   0.03780709 ... 0.00856664 0.00468371 0.        ],22050,318404,14.440090702947845
"[-0.0367956  -0.03287707 -0.01644326 ... -0.02978828 -0.04798498
  0.        ]",22050,671204,30.440090702947845
[0.03983513 0.06289502 0.07250732 ... 0.02882943 0.0290026  0.        ],22050,124364,5.6400907029478455
"[-0.00875663 -0.00848822 -0.00398776 ... -0.00638079 -0.00440178
  0.        ]",22050,224912,10.200090702947845
"[-0.00724057 -0.01254395 -0.01149609 ...  0.0457993   0.04400585
  0.        ]",22050,679142,30.800090702947845
[0.07829907 0.1268537  0.14413449 ... 0.04927616 0.04228394 0.        ],22050,285770,12.960090702947845
[0.00102335 0.00111292 0.00078332 ... 0.01101239 0.01134159 0.        ],22050,149060,6.760090702947846
"[ 1.6029446e-03  1.5449844e-03  7.9007569e-04 ... -5.0191567e-05
  5.0024275e-04  0.0000000e+00]",22050,225794,10.240090702947846
"[-8.6965549e-05 -6.7587168e-04 -4.0986072e-04 ... -2.3227945e-02
 -2.3624934e-02  0.0000000e+00]",22050,99668,4.520090702947845
"[-0.00097839 -0.00105163 -0.00115064 ... -0.00520068 -0.00388531
  0.        ]",22050,127892,5.800090702947846
"[ 0.00120183  0.00340575  0.00744749 ... -0.01762896 -0.01533546
  0.        ]",22050,120836,5.480090702947845
[0.         0.         0.         ... 0.0043357  0.00509696 0.        ],22050,186986,8.480090702947846
[0.0016581  0.00138157 0.00075605 ... 0.03541695 0.05173779 0.        ],22050,179048,8.120090702947845
"[-0.10763267 -0.13190603 -0.12856464 ... -0.00036809 -0.00067947
  0.        ]",22050,97022,4.400090702947846
"[-0.11104119 -0.13275126 -0.11879438 ... -0.01873795 -0.01099413
  0.        ]",22050,108488,4.920090702947846
[0.01662344 0.02607444 0.02242968 ... 0.02029844 0.01936333 0.        ],22050,128774,5.840090702947846
"[-0.04574421 -0.04831488 -0.03521688 ...  0.02120699  0.03281233
  0.        ]",22050,109370,4.960090702947846
"[-0.05461149 -0.07106827 -0.07809871 ... -0.01646655 -0.01760429
  0.        ]",22050,141122,6.400090702947846
"[ 0.00409175 -0.00971868 -0.00806243 ...  0.22979859  0.20372787
  0.        ]",22050,89966,4.080090702947846
[0.00190002 0.00116499 0.00170612 ... 0.00157857 0.00175946 0.        ],22050,325460,14.760090702947846
"[ 0.00269053  0.00267591  0.00198592 ... -0.015055   -0.02162955
  0.        ]",22050,386318,17.520090702947847
"[-0.00072159 -0.00096354 -0.00082811 ...  0.00494288  0.00656965
  0.        ]",22050,107606,4.880090702947846
[0.00518166 0.04895661 0.0723818  ... 0.00637606 0.01002733 0.        ],22050,179930,8.160090702947846
"[-0.02726653 -0.03083297 -0.02546243 ... -0.0006166  -0.00217292
  0.        ]",22050,219620,9.960090702947845
"[-0.00026835 -0.00458077 -0.01389434 ... -0.00827751 -0.00036769
  0.        ]",22050,101432,4.6000907029478455
"[ 0.00049937  0.00051506  0.00045801 ... -0.01645192 -0.01930983
  0.        ]",22050,243434,11.040090702947845
"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.5214816e-05 3.2422162e-04
 0.0000000e+00]",22050,101432,4.6000907029478455
"[-0.01424913 -0.01369282 -0.00945569 ...  0.00417018  0.00329502
  0.        ]",22050,194042,8.800090702947847
"[ 0.08498898  0.10786278  0.10099654 ... -0.0005903  -0.00103536
  0.        ]",22050,137594,6.240090702947846
"[ 0.00555276  0.00658577  0.00269606 ... -0.0405523  -0.03580136
  0.        ]",22050,193160,8.760090702947846
"[ 0.01180815  0.03211771  0.0478574  ... -0.0270721  -0.02662333
  0.        ]",22050,122600,5.5600907029478455
"[ 0.00065604  0.00074638  0.00070611 ... -0.06770678 -0.0676587
  0.        ]",22050,95258,4.320090702947846
"[ 0.11658213  0.15963109  0.18265504 ... -0.02395244 -0.03038578
  0.        ]",22050,116426,5.280090702947846
"[ 0.00227042  0.00340535  0.00262424 ...  0.00136559 -0.00463995
  0.        ]",22050,92612,4.200090702947846
"[-0.0009621  -0.01086595 -0.02116554 ... -0.00867365  0.00709565
  0.        ]",22050,142004,6.440090702947846
"[-0.01192093 -0.01346128 -0.01147309 ... -0.00184684 -0.00165511
  0.        ]",22050,306938,13.920090702947846
"[-0.0142389  -0.00929993  0.00532566 ... -0.00323377 -0.00299481
  0.        ]",22050,160526,7.280090702947846
"[ 0.1098922   0.13596433  0.09692929 ...  0.0007309  -0.00271272
  0.        ]",22050,586532,26.600090702947846
"[ 0.00077483  0.00076257  0.00042971 ... -0.00302873 -0.00123973
  0.        ]",22050,231968,10.520090702947845
"[-0.02739208 -0.0264983  -0.01628629 ...  0.10007018  0.08701424
  0.        ]",22050,102314,4.6400907029478455
"[ 0.00019541  0.00026028  0.00110183 ... -0.08712542 -0.09006719
  0.        ]",22050,106724,4.840090702947846
"[ 0.07017341  0.07548723  0.05978111 ... -0.01534383 -0.01324502
  0.        ]",22050,128774,5.840090702947846
"[ 0.00067878  0.00166298  0.00247406 ... -0.00588888 -0.00550763
  0.        ]",22050,92612,4.200090702947846
[0.06727082 0.06561381 0.04890025 ... 0.02227496 0.02399156 0.        ],22050,110252,5.000090702947846
"[ 0.00403382  0.00688386  0.00936566 ... -0.02238057 -0.01669463
  0.        ]",22050,146414,6.6400907029478455
"[-0.00676515 -0.00796158 -0.00720724 ...  0.0091188  -0.00336257
  0.        ]",22050,193160,8.760090702947846
"[-0.00038986  0.00035133  0.00108629 ... -0.0041689  -0.00432279
  0.        ]",22050,95258,4.320090702947846
"[-0.04809189 -0.00983159  0.06357655 ... -0.08201599 -0.08468556
  0.        ]",22050,142886,6.480090702947845
"[-0.02919455 -0.03204731 -0.02223288 ...  0.04583032  0.01924195
  0.        ]",22050,89084,4.040090702947846
"[-0.03161402 -0.02036485 -0.0056238  ...  0.19126633  0.0843054
  0.        ]",22050,225794,10.240090702947846
"[-0.06684411 -0.07446379 -0.06323768 ...  0.07793101  0.0688616
  0.        ]",22050,354566,16.080090702947846
"[-6.1345813e-03 -5.8204066e-03 -1.1277167e-02 ... -9.2952068e-05
  1.9208879e-03  0.0000000e+00]",22050,127892,5.800090702947846
"[ 0.00061168  0.00127687  0.00138249 ... -0.00055519 -0.00067196
  0.        ]",22050,451586,20.480090702947845
